AirQualityStation,Countrycode,Altitude,AreaType,StationType,PopulationDensity,no2_average
STA.DE_DEBW087,DE,798,rural-regional,background,262.1,7.242141681
STA.DE_DEBB067,DE,31,suburban,background,94.6,13.8147661
STA.DE_DEBB066,DE,52,rural-regional,background,76.2,8.665383064
STA.DE_DEBB065,DE,111,rural-regional,background,84,9.190738169
STA.DE_DEBB064,DE,75,urban,background,609.9,13.12275164
STA.DE_DEBB063,DE,22,suburban,background,36.2,10.88141143
STA.DE_DEBB060,DE,20,urban,traffic,126.8,23.43519625
STA.DE_DEBB055,DE,33,suburban,background,367.4,14.16133013
STA.DE_DEBB054,DE,31,urban,traffic,1034.5,36.19961045
STA.DE_DEBB053,DE,88,rural-regional,background,91,9.919649977
STA.DE_DEBB049,DE,33,urban,traffic,367.4,26.48881678
STA.DE_DEBB048,DE,43,suburban,background,40.1,13.58610337
STA.DE_DEBB045,DE,56,urban,traffic,403.2,34.49754975
STA.DE_DEBB044,DE,75,urban,traffic,609.9,27.49248654
STA.DE_DEBB032,DE,40,suburban,industrial,81,12.26417184
STA.DE_DEBB029,DE,5,suburban,industrial,40.2,11.61705216
STA.DE_DEBB021,DE,31,urban,background,1034.5,17.58831008
STA.DE_DEBB007,DE,89,suburban,background,54.7,13.83871007
STA.DE_DEBB068,DE,71,urban,traffic,126.8,23.90097712
STA.CZ_ZZLN,CZ,258,suburban,background,149.1,12.40620006
STA.DE_DEBB073,DE,32,urban,traffic,1034.5,32.63884908
STA.DE_DEBB083,DE,99,suburban,background,70.5,10.88380606
STA.DE_DEBE065,DE,40,urban,traffic,4289.8,37.52893194
STA.DE_DEBE064,DE,40,urban,traffic,4289.8,45.03591008
STA.DE_DEBE063,DE,40,urban,traffic,4289.8,48.96229579
STA.DE_DEBE062,DE,50,rural-nearcity,background,4289.8,13.64824651
STA.DE_DEBE061,DE,45,urban,traffic,4289.8,43.4779478
STA.DE_DEBE056,DE,35,rural-nearcity,background,4289.8,12.97706905
STA.DE_DEBE051,DE,60,suburban,background,4289.8,15.2686101
STA.DE_DEBE034,DE,35,urban,background,4289.8,24.22002985
STA.DE_DEBE032,DE,50,rural-nearcity,background,4289.8,15.92667655
STA.DE_DEBE027,DE,45,rural-nearcity,background,4289.8,15.3063328
STA.DE_DEBE018,DE,40,urban,background,4289.8,24.90268287
STA.DE_DEBE010,DE,35,urban,background,4289.8,27.12962346
STA.DE_DEBB099,DE,53,suburban,traffic,91,18.47713447
STA.DE_DEBB092,DE,74,suburban,background,403.2,13.58317472
STA.DE_DEBB086,DE,43,suburban,background,80.2,16.60519055
STA.DE_DEBB075,DE,39,suburban,background,1034.5,15.24753771
STA.CZ_ZUHR,CZ,191,urban,traffic,149.1,27.05615303
STA.CZ_ZTNV,CZ,280,rural-regional,background,149.1,8.154030965
STA.CZ_UULM,CZ,147,urban,background,156.8,21.88314578
STA.CZ_LLIL,CZ,422,urban,background,141.8,13.9138091
STA.CZ_KSOM,CZ,476,suburban,background,91.1,12.23808556
STA.CZ_KPRB,CZ,904,rural-regional,background,91.1,5.264775718
STA.CZ_JKOS,CZ,535,rural-regional,background,76.3,3.936829193
STA.CZ_JJIH,CZ,502,urban,background,76.3,12.39639996
STA.CZ_HPLO,CZ,747,rural-regional,background,117.7,4.706726539
STA.CZ_HHKB,CZ,232,urban,traffic,117.7,18.77102686
STA.CZ_EPAO,CZ,217,suburban,background,116.6,14.21108901
STA.CZ_EMTP,CZ,350,urban,background,116.6,15.68382359
STA.CZ_CTAB,CZ,400,urban,traffic,66.7,17.23362677
STA.CZ_CPRA,CZ,583,suburban,background,66.7,10.31145883
STA.CZ_CCHU,CZ,1118,rural-regional,background,66.7,2.515008138
STA.CZ_CCBD,CZ,383,urban,background,66.7,13.47565816
STA.CZ_BZNO,CZ,225,suburban,background,168.6,13.00959137
STA.CZ_BMIS,CZ,245,rural-regional,background,168.6,7.166444891
STA.CZ_BBNY,CZ,241,suburban,background,168.6,14.0026274
STA.CZ_BBNV,CZ,235,urban,traffic,168.6,37.81856524
STA.CZ_MJES,CZ,625,rural-nearcity,background,121.4,5.284055466
STA.CZ_MLOS,CZ,258,rural-nearcity,background,121.4,12.05461154
STA.CZ_MOLJ,CZ,224,urban,background,121.4,19.86566904
STA.CZ_PKUJ,CZ,385,rural-nearcity,background,77.4,9.117659948
STA.CZ_UULK,CZ,367,suburban,background,156.8,11.50388029
STA.CZ_UULD,CZ,230,urban,traffic,156.8,31.08982604
STA.CZ_UTUS,CZ,322,rural-nearcity,background,156.8,11.26446163
STA.CZ_USNZ,CZ,590,rural-regional,background,156.8,8.396595172
STA.CZ_UMOM,CZ,221,urban,background,156.8,19.68771481
STA.CZ_ULOM,CZ,265,rural-nearcity,background,156.8,11.03457728
STA.CZ_UDOK,CZ,158,rural-nearcity,background,156.8,12.57620134
STA.CZ_UDCM,CZ,131,urban,background,156.8,18.21149224
STA.DE_DEBE066,DE,35,urban,background,4289.8,19.49209566
STA.CZ_TCER,CZ,749,rural-regional,background,226.7,5.799738694
STA.CZ_SPBR,CZ,512,urban,background,127,14.47769749
STA.CZ_SMBO,CZ,224,urban,background,127,16.55243913
STA.CZ_SKLS,CZ,219,urban,background,127,14.63829256
STA.CZ_SBER,CZ,216,urban,traffic,127,25.39445361
STA.CZ_PPLV,CZ,348,suburban,background,77.4,12.18014488
STA.CZ_PPLL,CZ,360,urban,background,77.4,15.33035722
STA.CZ_PPLE,CZ,306,urban,traffic,77.4,18.48261478
STA.CZ_PPLA,CZ,340,urban,traffic,77.4,19.34551894
STA.CZ_SROR,CZ,198,rural-nearcity,background,127,8.019621886
STA.DE_DEBE067,DE,35,urban,traffic,4289.8,43.41336464
STA.DE_DEBE068,DE,35,urban,background,4289.8,24.40068581
STA.DE_DEBE069,DE,50,urban,traffic,4289.8,40.71225903
STA.DE_DEBY079,DE,469,urban,background,126.7,9.685393136
STA.DE_DEBY075,DE,400,urban,background,599,24.1404926
STA.DE_DEBY072,DE,755,rural-regional,background,84.1,5.75001884
STA.DE_DEBY068,DE,231,urban,background,1535.3,21.26832235
STA.DE_DEBY067,DE,380,suburban,background,101.5,19.71296598
STA.DE_DEBY063,DE,337,urban,traffic,1920.9,36.97949361
STA.DE_DEBY058,DE,300,urban,background,2793.4,27.08870955
STA.DE_DEBY053,DE,307,urban,traffic,2793.4,34.56951457
STA.DE_DEBY052,DE,470,urban,background,338.6,27.25827772
STA.DE_DEBY049,DE,359,rural-regional,background,114.9,9.637934267
STA.DE_DEBY039,DE,521,urban,background,4721.9,27.35299504
STA.DE_DEBY037,DE,521,urban,traffic,4721.9,47.54987914
STA.DE_DEBY035,DE,411,urban,traffic,286.6,21.68537781
STA.DE_DEBY033,DE,390,urban,traffic,1087.9,24.49973459
STA.DE_DEBY032,DE,303,urban,background,109.3,20.23278047
STA.DE_DEBY031,DE,678,suburban,background,1089.2,17.49663089
STA.DE_DEBY030,DE,340,suburban,background,114.9,18.19687897
STA.DE_DEBY088,DE,488,suburban,background,122.1,16.56035949
STA.DE_DEBY089,DE,513,suburban,background,4721.9,19.86750471
STA.DE_DEBY099,DE,495,suburban,background,2000,17.29118275
STA.DE_DEBY109,DE,700,rural-regional,background,319.6,6.806812647
STA.DE_DEHB005,DE,3,urban,background,1399.1,19.48109773
STA.DE_DEHB004,DE,20,urban,background,1834.4,18.9943954
STA.DE_DEHB002,DE,7,urban,background,1834.4,21.55181557
STA.DE_DEHB001,DE,10,urban,background,1834.4,22.86614958
STA.DE_DEBY196,DE,732,rural-nearcity,background,88.3,10.5102941
STA.DE_DEBY189,DE,510,suburban,background,4721.9,24.34984108
STA.DE_DEBY188,DE,344,urban,background,994.8,23.54303797
STA.DE_DEBY187,DE,417,suburban,background,105.1,16.53186085
STA.DE_DEBY028,DE,348,urban,traffic,114.9,20.06556262
STA.DE_DEBY124,DE,362,rural-regional,background,78.9,11.6238046
STA.DE_DEBY121,DE,469,rural-nearcity,traffic,183.8,30.24192013
STA.DE_DEBY120,DE,308,urban,traffic,2793.4,46.40782309
STA.DE_DEBY119,DE,198,urban,traffic,1462.7,33.45389092
STA.DE_DEBY118,DE,300,urban,background,801.9,30.29443209
STA.DE_DEBY115,DE,521,urban,traffic,4721.9,66.20001048
STA.DE_DEBY113,DE,284,suburban,background,1466.8,17.66874979
STA.DE_DEBY111,DE,337,urban,traffic,1109.4,29.80124529
STA.DE_DEBY110,DE,485,urban,traffic,2000,43.05785343
STA.DE_DEBY122,DE,1169,rural-regional,background,102,7.679127783
STA.CZ_BBDN,CZ,225,urban,background,168.6,22.44367121
STA.DE_DEBY021,DE,374,urban,traffic,1047,24.36041102
STA.DE_DEBY013,DE,415,rural-regional,background,196.8,13.52303112
STA.DE_DEBW059,DE,177,suburban,background,101.5,12.47026517
STA.DE_DEBW052,DE,403,urban,background,369.7,19.64653742
STA.DE_DEBW046,DE,534,suburban,background,141.5,17.03991836
STA.DE_DEBW042,DE,370,suburban,background,831.8,27.11736038
STA.DE_DEBW039,DE,700,suburban,background,206.8,14.35893776
STA.DE_DEBW038,DE,404,urban,background,483.1,21.20914492
STA.DE_DEBW033,DE,278,urban,background,1274.6,24.6062959
STA.DE_DEBW031,DE,904,rural-regional,background,192.2,4.639522855
STA.DE_DEBW029,DE,424,suburban,background,207.4,21.72995923
STA.DE_DEBW027,DE,385,urban,background,262.1,24.91685694
STA.DE_DEBW024,DE,302,suburban,background,793.1,25.14739419
STA.DE_DEBW023,DE,275,suburban,background,284.9,17.57122696
STA.DE_DEBW019,DE,481,urban,background,1058.5,26.64058714
STA.DE_DEBW015,DE,157,urban,background,1255.4,27.82747548
STA.DE_DEBW013,DE,235,urban,background,3076.6,27.07349959
STA.DE_DEBW010,DE,162,suburban,background,519.2,16.15158619
STA.DE_DEBW073,DE,223,suburban,background,192.2,20.18346139
STA.DE_DEBW076,DE,148,suburban,background,395.1,16.31513702
STA.DE_DEBW084,DE,262,urban,background,1502.9,19.14848026
STA.DE_DEBW099,DE,244,urban,traffic,3076.6,46.15624926
STA.DE_DEBY012,DE,420,suburban,background,196.8,21.29115607
STA.DE_DEBY009,DE,231,urban,background,1407,23.88160293
STA.DE_DEBY007,DE,477,urban,background,2000,25.7995131
STA.DE_DEBY006,DE,492,urban,traffic,2000,28.13910545
STA.DE_DEBY005,DE,134,suburban,background,1151.3,27.70406429
STA.DE_DEBY004,DE,124,rural-nearcity,background,181.7,15.78894138
STA.DE_DEBY001,DE,400,urban,traffic,417.5,31.07620142
STA.DE_DEBW156,DE,458,urban,traffic,181,34.15422248
STA.DE_DEBY020,DE,525,suburban,background,806,16.64004694
STA.DE_DEBW152,DE,165,urban,traffic,1255.4,51.62190886
STA.DE_DEBW136,DE,340,urban,traffic,437.3,45.87647744
STA.DE_DEBW122,DE,289,urban,traffic,1502.9,50.04803508
STA.DE_DEBW120,DE,387,urban,traffic,632,45.35113185
STA.DE_DEBW118,DE,239,urban,traffic,3076.6,70.80151603
STA.DE_DEBW117,DE,299,urban,traffic,793.1,50.72605337
STA.DE_DEBW116,DE,302,urban,traffic,3076.6,64.89290458
STA.DE_DEBW112,DE,466,suburban,background,632,13.8389951
STA.DE_DEBW107,DE,325,suburban,background,437.3,20.6320953
STA.DE_DEBW147,DE,382,urban,traffic,262.1,52.51931831
STA.DE_DEHB006,DE,5,urban,traffic,1834.4,37.69345346
STA.CZ_AVYN,CZ,219,urban,traffic,2683.7,32.63999068
STA.CZ_ARIE,CZ,256,urban,background,2683.7,22.26845779
STA.03.0401,AT,161,rural,background,123.7,10.99322658
STA.03.0202,AT,581,rural,background,236.3,7.434895821
STA.03.0201,AT,265,suburban,background,236.3,13.34292391
STA.03.0104,AT,265,rural,traffic,74.6,22.0740668
STA.03.0101,AT,270,urban,background,74.6,20.51619862
STA.03.0065,AT,260,suburban,background,123.7,16.46115565
STA.02.SP10,AT,686,rural-regional,background,30.6,9.104071367
STA.03.0403,AT,260,rural-nearcity,background,123.7,12.9997016
STA.03.0502,AT,570,rural-regional,background,47.8,5.998770507
STA.03.0601,AT,220,suburban,background,123.7,11.47542215
STA.03.2701,AT,155,suburban,background,236.3,18.78496953
STA.03.2604,AT,330,rural,background,74.6,12.22432682
STA.03.2501,AT,200,suburban,background,47.8,17.57808045
STA.03.2302,AT,271,urban,traffic,127.8,29.41527041
STA.03.2301,AT,270,urban,background,127.8,19.74837413
STA.03.1904,AT,220,rural,background,123.7,8.052078003
STA.03.1902,AT,200,rural,industrial,123.7,12.34335093
STA.03.1901,AT,178,suburban,background,123.7,12.25784271
STA.03.1703,AT,190,suburban,background,127.8,13.22199827
STA.03.1701,AT,320,rural,background,47.8,9.884050894
STA.03.1502,AT,890,rural-regional,background,77.7,5.316849501
STA.03.1413,AT,210,suburban,traffic,236.3,24.71621084
STA.03.1406,AT,188,suburban,traffic,236.3,23.35246148
STA.03.1402,AT,194,suburban,traffic,236.3,21.15629155
STA.03.1401,AT,215,suburban,background,236.3,16.16633398
STA.03.1204,AT,216,rural,background,74.6,16.17288703
STA.03.0902,AT,175,suburban,traffic,123.7,23.37350166
STA.03.0599,AT,170,suburban,traffic,123.7,18.93404544
STA-SK0407A,SK,197,urban,traffic,324.2,26.68612854
STA-SK0269A,SK,143,urban,traffic,107.7,34.14337379
STA-SK0267A,SK,209,urban,traffic,119.4,28.04617411
STA-SK0266A,SK,252,urban,traffic,92.1,40.63761369
STA-SK0265A,SK,372,urban,traffic,119.4,18.02194059
STA-SK0263A,SK,425,urban,background,68.7,10.33043615
STA-SK0214A,SK,346,urban,traffic,68.7,34.28285368
STA-SK0134A,SK,149,urban,background,107.7,11.29486651
STA-SK0048A,SK,287,suburban,background,324.2,12.08772844
STA-SK0045A,SK,152,urban,traffic,138.5,35.33211719
STA-SK0042A,SK,1244,rural,background,119.4,3.410448682
STA-SK0041A,SK,694,rural,background,92.1,8.84496659
STA-SK0037A,SK,160,urban,background,92.1,9.546192338
STA-SK0025A,SK,289,urban,background,68.7,10.26907152
STA-SK0008A,SK,475,urban,background,102.6,20.00203957
STA-TR220341,TR,133,urban,background,70,17.27621376
STA.04.S108,AT,918,rural-regional,background,79.4,5.10656937
STA-TR170141,TR,9,urban,background,55.6,21.95640932
STA-TR110241,TR,755,urban,background,51.7,28.43135472
STA-TR110141,TR,534,urban,background,51.7,24.71245842
STA-TR100411,TR,24,urban,background,85.9,18.75511043
STA.04.S125,AT,460,suburban,background,99.3,13.2321311
STA.04.S156,AT,350,suburban,background,103.1,18.8906208
STA.04.S173,AT,250,suburban,industrial,346.7,16.74943694
STA.09.GAUD,AT,179,urban,background,4780.6,27.04728751
STA.09.FLO,AT,164,urban,background,4780.6,25.04366191
STA.09.BELG,AT,218,urban,background,4780.6,26.87803584
STA.09.AKC,AT,199,urban,background,4780.6,23.00362139
STA.09.A23,AT,162,suburban,traffic,4780.6,32.56025379
STA.08.2801,AT,940,rural,traffic,49.4,25.05630168
STA.08.1919,AT,460,urban,traffic,444.5,37.83489047
STA.08.0807,AT,440,suburban,traffic,444.5,28.45982757
STA.08.0710,AT,410,urban,traffic,444.5,37.76706756
STA.08.0709,AT,405,urban,traffic,444.5,33.39663797
STA.08.0706,AT,410,suburban,background,444.5,19.41245711
STA.08.0503,AT,1020,rural-regional,background,444.5,6.285110258
STA.07.2912,AT,681,rural,background,24.3,12.33534819
STA.07.2910,AT,675,urban,traffic,24.3,35.02104721
STA.07.2822,AT,543,rural,traffic,65.4,32.11796106
STA.07.2821,AT,557,rural,traffic,65.4,50.20586323
STA.09.JAEG,AT,488,suburban,background,4780.6,10.54687963
STA.09.KE,AT,158,suburban,background,4780.6,23.4945415
STA.09.KEND,AT,236,urban,background,4780.6,21.78351443
STA.09.LIES,AT,211,suburban,background,4780.6,19.96829336
STA.CZ_AREP,CZ,190,urban,background,2683.7,28.75728281
STA.CZ_APRU,CZ,267,urban,traffic,2683.7,29.39009825
STA.CZ_ALIB,CZ,301,suburban,background,2683.7,16.32342098
STA.CZ_ALEG,CZ,219,urban,traffic,2683.7,47.64636488
STA.CZ_AKOB,CZ,269,suburban,background,2683.7,19.28335463
STA.CZ_AKAL,CZ,203,urban,traffic,2683.7,27.87198303
STA.CZ_ACHO,CZ,300,urban,background,2683.7,18.25198455
STA.CZ_ABRE,CZ,300,urban,background,2683.7,22.15358919
STA.07.2710,AT,985,rural,background,26.9,15.68138775
STA.10.ZOE2,AT,899,rural-remote,background,70.2,3.647397779
STA.10.PIL1,AT,315,rural-regional,background,52.3,8.199492857
STA.10.ENK1,AT,525,rural-regional,background,103.1,11.14190288
STA.09.ZA,AT,210,suburban,background,4780.6,18.53022763
STA.09.TAB,AT,162,urban,traffic,4780.6,33.3813728
STA.09.STEF,AT,172,urban,background,4780.6,22.49061704
STA.09.STAD,AT,159,urban,background,4780.6,23.83044339
STA.09.SCHA,AT,319,suburban,background,4780.6,13.48833944
