idx,AirQualityStation,img_path,s5p_path,Countrycode,Altitude,PopulationDensity,rural,suburban,urban,traffic,industrial,background,no2,o3,pm10
2,STA.IT1863A,STA.IT1863A/S2A_MSIL2A_20200123T095311_N0213_R079_T33TVG_20200123T113534.npy,STA.IT1863A/l3_mean_europe_2018_2020_005dg.netcdf,IT,954,55.3,1,0,0,0,0,1,8.086379694,55.92163619,8.437356784
3,STA-BETR701,STA-BETR701/S2A_MSIL2A_20200530T105031_N0214_R051_T31UES_20200530T134211.npy,STA-BETR701/l3_mean_europe_2018_2020_005dg.netcdf,BE,5,594.5,0,0,1,0,0,1,25.7485669,43.681846,29.23334858
4,STA-FR16029,STA-FR16029/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMU_20200807T132026.npy,STA-FR16029/l3_mean_europe_2018_2020_005dg.netcdf,FR,114,237.6,0,0,1,0,0,1,20.13982858,48.83727043,21.18092627
9,STA.IT0963A,STA.IT0963A/S2B_MSIL2A_20200821T100559_N0214_R022_T32TQR_20200821T130423.npy,STA.IT0963A/l3_mean_europe_2018_2020_005dg.netcdf,IT,1,442.4,0,0,1,0,0,1,28.42706049,55.84852775,29.57417582
11,STA_ES0009R,STA_ES0009R/S2A_MSIL2A_20200824T110631_N0214_R137_T30TVL_20200824T154400.npy,STA_ES0009R/l3_mean_europe_2018_2020_005dg.netcdf,ES,1360,21.2,1,0,0,0,0,1,1.701443639,73.60410608,8.334293948
15,STA.DE_DEBE051,STA.DE_DEBE051/S2B_MSIL2A_20200801T100559_N0214_R022_T32UQD_20200801T135302.npy,STA.DE_DEBE051/l3_mean_europe_2018_2020_005dg.netcdf,DE,60,4289.8,0,1,0,0,0,1,15.2686101,52.02411154,19.10893943
17,STA_PL0501A,STA_PL0501A/S2B_MSIL2A_20200822T094039_N0214_R036_T34UDA_20200822T115325.npy,STA_PL0501A/l3_mean_europe_2018_2020_005dg.netcdf,PL,223,2393.9,0,0,1,0,0,1,31.94309199,41.31971702,43.39041563
26,STA_PL0150A,STA_PL0150A/S2B_MSIL2A_20200921T094039_N0214_R036_T34UFE_20200921T120812.npy,STA_PL0150A/l3_mean_europe_2018_2020_005dg.netcdf,PL,180,98.7,1,0,0,0,0,1,3.482215231,50.91328392,12.70848547
27,STA.DE_DENI031,STA.DE_DENI031/S2B_MSIL2A_20201225T103339_N0214_R108_T32UME_20201225T121034.npy,STA.DE_DENI031/l3_mean_europe_2018_2020_005dg.netcdf,DE,2,733.6,1,0,0,0,0,1,12.11709983,56.83993737,15.96497691
28,STA.DE_DEHB005,STA.DE_DEHB005/S2B_MSIL2A_20201225T103339_N0214_R108_T32UME_20201225T121034.npy,STA.DE_DEHB005/l3_mean_europe_2018_2020_005dg.netcdf,DE,3,1399.1,0,0,1,0,0,1,19.48109773,49.61195682,18.6423517
30,STA-LT00042,STA-LT00042/S2A_MSIL2A_20200817T094041_N0214_R036_T35ULB_20200817T110529.npy,STA-LT00042/l3_mean_europe_2018_2020_005dg.netcdf,LT,40,71.8,0,0,1,0,1,0,11.23200897,49.22364179,16.69983299
35,STA-FR04319,STA-FR04319/S2A_MSIL2A_20200520T105031_N0214_R051_T31UDQ_20200520T134332.npy,STA-FR04319/l3_mean_europe_2018_2020_005dg.netcdf,FR,65,6979,0,1,0,0,0,1,27.13595219,47.18149177,19.92267595
38,STA-SI0054A,STA-SI0054A/S2A_MSIL2A_20200912T100031_N0214_R122_T33TWM_20200912T114911.npy,STA-SI0054A/l3_mean_europe_2018_2020_005dg.netcdf,SI,250,118.3,0,1,0,0,0,1,16.19827962,43.78955899,26.8767507
40,STA.DE_DEHE024,STA.DE_DEHE024/S2B_MSIL2A_20200409T102559_N0214_R108_T32UNB_20200409T140105.npy,STA.DE_DEHE024/l3_mean_europe_2018_2020_005dg.netcdf,DE,610,98.9,1,0,0,0,0,1,6.254976528,70.26555838,12.54013867
42,STA-RO0192A,STA-RO0192A/S2A_MSIL2A_20200828T090601_N0214_R050_T35TLJ_20200828T114933.npy,STA-RO0192A/l3_mean_europe_2018_2020_005dg.netcdf,RO,31,59.5,0,0,1,0,1,0,12.511371,57.0583273,21.33249267
45,STA_ES1353A,STA_ES1353A/S2B_MSIL2A_20200623T112119_N0214_R037_T29TQJ_20200623T143258.npy,STA_ES1353A/l3_mean_europe_2018_2020_005dg.netcdf,ES,216,97,0,0,1,0,0,1,17.7068906,48.92596431,23.74047315
47,STA.02.SP18,STA.02.SP18/S2A_MSIL2A_20200707T101031_N0214_R022_T33TUM_20200707T135316.npy,STA.02.SP18/l3_mean_europe_2018_2020_005dg.netcdf,AT,560,30.6,0,0,1,0,0,1,19.12021372,35.95075618,18.56537879
50,STA.DE_DENI042,STA.DE_DENI042/S2A_MSIL2A_20200723T103031_N0214_R108_T32UNC_20200723T142801.npy,STA.DE_DENI042/l3_mean_europe_2018_2020_005dg.netcdf,DE,170,187.5,0,1,0,0,0,1,14.77544369,57.30469446,14.76206264
51,STA.IT2117A,STA.IT2117A/S2B_MSIL2A_20201122T102339_N0214_R065_T32TLR_20201122T122607.npy,STA.IT2117A/l3_mean_europe_2018_2020_005dg.netcdf,IT,246,333.8,0,1,0,0,0,1,25.467851,39.58858899,32.68449198
52,STA-RO0150A,STA-RO0150A/S2B_MSIL2A_20200905T092029_N0214_R093_T34TFQ_20200905T113748.npy,STA-RO0150A/l3_mean_europe_2018_2020_005dg.netcdf,RO,203,57.3,0,0,1,0,1,0,15.13135781,43.5892287,26.51944903
55,STA_PL0241A,STA_PL0241A/S2A_MSIL2A_20200919T095031_N0214_R079_T33UYR_20200919T115531.npy,STA_PL0241A/l3_mean_europe_2018_2020_005dg.netcdf,PL,271,471.2,0,0,1,0,0,1,21.06331048,50.33767624,47.93407204
58,STA_ES1421A,STA_ES1421A/S2B_MSIL2A_20200707T105619_N0214_R094_T30TXK_20200707T135135.npy,STA_ES1421A/l3_mean_europe_2018_2020_005dg.netcdf,ES,915,9,0,0,1,0,0,1,10.23626243,62.14859438,12.61561562
59,STA.DE_DEHE011,STA.DE_DEHE011/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMA_20200807T132026.npy,STA.DE_DEHE011/l3_mean_europe_2018_2020_005dg.netcdf,DE,108,300.3,0,0,1,0,0,1,25.09217772,51.93285377,17.97076332
60,STA.CZ_ZZLN,STA.CZ_ZZLN/S2A_MSIL2A_20200922T100031_N0214_R122_T33UXQ_20200924T114821.npy,STA.CZ_ZZLN/l3_mean_europe_2018_2020_005dg.netcdf,CZ,258,149.1,0,1,0,0,0,1,13.65499757,57.95648013,26.01642178
61,STA_ES1649A,STA_ES1649A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1649A/l3_mean_europe_2018_2020_005dg.netcdf,ES,350,62.3,1,0,0,0,1,0,7.897802449,66.27975092,19.0447353
62,STA_ES2075A,STA_ES2075A/S2B_MSIL2A_20200623T112119_N0214_R037_T29TQJ_20200623T143258.npy,STA_ES2075A/l3_mean_europe_2018_2020_005dg.netcdf,ES,89,97,0,1,0,0,1,0,13.89432067,37.34781604,19.91716479
63,STA-FR41003,STA-FR41003/S2A_MSIL2A_20200809T102031_N0214_R065_T32TMM_20200809T130506.npy,STA-FR41003/l3_mean_europe_2018_2020_005dg.netcdf,FR,30,39.9,0,1,0,0,1,0,7.403181695,50.92002439,23.09424194
64,STA-PT03085,STA-PT03085/S2A_MSIL2A_20200830T113321_N0214_R080_T29SMC_20200830T142737.npy,STA-PT03085/l3_mean_europe_2018_2020_005dg.netcdf,PT,10,1010.7,0,0,1,0,0,1,18.51295198,57.75563615,17.90349667
69,STA.IT1857A,STA.IT1857A/S2B_MSIL2A_20201216T100329_N0214_R122_T33TUH_20201216T122746.npy,STA.IT1857A/l3_mean_europe_2018_2020_005dg.netcdf,IT,257,157.8,0,0,1,1,0,0,13.53767123,40.58304764,24.59178082
