station,poll
STA-AD0942A,0.261408683
STA-AL0203A,1.511550503
STA-AL0204A,0.618885637
STA-AL0205A,0.663031793
STA-AL0206A,1.165497286
STA-AL0207A,0.82007186
STA.01.0001,0.264921781
STA.02.KA21,0.315033224
STA.03.1401,0.253785151
STA.03.1402,0.252428277
STA.03.2302,0.322635926
STA.04.S173,0.329083154
STA.04.S217,0.212423507
STA.04.S406,0.261508353
STA.04.S416,0.301634251
STA.04.S431,0.331676814
STA.05.1000,0.332876751
STA.05.1066,0.247759857
STA.05.2000,0.326142407
STA.06.142,0.545393381
STA.06.164,0.391722092
STA.06.170,0.379158355
STA.06.172,0.31598525
STA.07.2110,0.320513761
STA.07.2910,0.427416694
STA.08.1919,0.324941956
STA.09.A23,0.262780688
STA.09.MBA,0.315906593
STA.09.TAB,0.301511451
STA.10.ILL1,0.228828507
STA.10.SON1,0.138670748
STA.10.VOR1,0.177350249
STA-BA0029A,0.453570248
STA-BA0031A,0.899859965
STA-BA0037A,0.78329499
STA-BA0041A,0.424611129
STA-BA0045A,0.915806797
STA-BA0047A,0.50009447
STA-BA0048A,0.62641845
STA-BA0052A,0.45959
STA-BETB001,0.246278703
STA-BETB004,0.205025341
STA-BETB006,0.413607143
STA-BETN043,0.440442511
STA-BETN060,0.219799461
STA-BETN063,0.198866643
STA-BETN070,0.222278924
STA-BETN085,0.154155645
STA-BETN132,0.194291569
STA-BETR001,0.288733224
STA-BETR002,0.27781647
STA-BETR020,0.244446473
STA-BETR222,0.234392574
STA-BETR223,0.269803841
STA-BETR501,0.256980485
STA-BETR512,0.246342472
STA-BETR701,0.254487421
STA-BETR750,0.281815739
STA-BETR802,0.294363099
STA-BETWOL1,0.243821019
STA-BG0013A,0.284669341
STA-BG0018A,1.655337679
STA-BG0019A,2.117700316
STA-BG0041A,0.572353614
STA-BG0043A,0.355606079
STA-BG0044A,0.36960664
STA-BG0045A,0.423976295
STA-BG0050A,0.523702658
STA-BG0051A,0.415404868
STA-BG0055A,0.648834455
STA-BG0056A,0.363757632
STA-BG0070A,0.332410781
STA-BG0073A,0.674615769
STA-BG0075A,0.288992747
STA-BG0078A,0.74727363
STA-BG0079A,0.629314108
STA-BG0080A,0.584498748
STA-BG0083A,0.224604121
STA-CH0002R,0.196281089
STA-CH0005A,0.248047778
STA-CH0005R,0.167375172
STA-CH0010A,0.272145085
STA-CH0011A,0.304086139
STA-CH0013A,0.309447697
STA-CH0028A,0.307994178
STA-CH0031A,0.368819107
STA-CH0055A,0.215688887
STA-CY0002R,0.140018291
STA-CY0004A,0.460371834
STA-CY0006A,0.293245445
STA.CZ_ALEG,0.462220122
STA.CZ_ALIB,0.343626689
STA.CZ_BBNV,0.362448615
STA.CZ_CTAB,0.30893564
STA.CZ_HHKB,0.315713421
STA.CZ_JJIH,0.302058125
STA.CZ_JKOS,0.264704493
STA.CZ_PPLA,0.335387757
STA.CZ_SBER,0.435915855
STA.CZ_TOCB,0.618096262
STA.CZ_TSTD,0.299142072
STA.CZ_UULD,0.42380231
STA.CZ_ZUHR,0.343100127
STA.DE_DEBB032,0.273175396
STA.DE_DEBB045,0.388148018
STA.DE_DEBB054,0.359539421
STA.DE_DEBB086,0.271337335
STA.DE_DEBB099,0.304285714
STA.DE_DEBE061,0.370837523
STA.DE_DEBE065,0.357349384
STA.DE_DEBW080,0.325060318
STA.DE_DEBW098,0.313032736
STA.DE_DEBW099,0.303477967
STA.DE_DEBW122,0.316825294
STA.DE_DEBW125,0.341130634
STA.DE_DEBW147,0.378791983
STA.DE_DEBW152,0.438914405
STA.DE_DEBW156,0.322524837
STA.DE_DEBY001,0.317591301
STA.DE_DEBY006,0.302156566
STA.DE_DEBY012,0.310467658
STA.DE_DEBY014,0.289417388
STA.DE_DEBY021,0.295495129
STA.DE_DEBY028,0.321268524
STA.DE_DEBY035,0.290500624
STA.DE_DEBY037,0.342813325
STA.DE_DEBY039,0.208997034
STA.DE_DEBY063,0.335434399
